plan_id,status,output_visible_cycles,final_ack_cycles,quiescent_cycles,payload_router_byte_hops,full_protocol_flit_hops,dependency_only_DAG_ticks
p0402,valid,2340.4444444444443,2469.4444444444443,2485.4444444444443,79872,3712,46280
p0403,valid,2599.4444444444443,2728.4444444444443,2744.4444444444443,79872,3712,48420
p0404,valid,2340.4444444444443,2469.4444444444443,2485.4444444444443,79872,3712,47432
p0405,valid,2599.4444444444443,2728.4444444444443,2744.4444444444443,79872,3712,49572
p0406,valid,2340.4444444444443,2469.4444444444443,2485.4444444444443,79872,3712,48584
p0407,valid,2599.4444444444443,2728.4444444444443,2744.4444444444443,79872,3712,50724
p0408,valid,2366.777777777778,2477.777777777778,2493.777777777778,165888,6400,52760
p0409,valid,2624.777777777778,2735.777777777778,2751.777777777778,165888,6400,54900
p0410,valid,2398.777777777778,2509.777777777778,2525.777777777778,165888,6400,53912
p0411,valid,2656.777777777778,2767.777777777778,2783.777777777778,165888,6400,56052
p0412,valid,2430.777777777778,2541.777777777778,2557.777777777778,165888,6400,55064
p0413,valid,2688.777777777778,2799.777777777778,2815.777777777778,165888,6400,57204
p0414,valid,2348.777777777778,2477.777777777778,2493.777777777778,153600,6016,52112
p0415,valid,2605.4444444444443,2734.4444444444443,2750.4444444444443,153600,6016,54252
p0416,valid,2380.777777777778,2509.777777777778,2525.777777777778,153600,6016,53264
p0417,valid,2637.4444444444443,2766.4444444444443,2782.4444444444443,153600,6016,55404
p0418,valid,2412.777777777778,2541.777777777778,2557.777777777778,153600,6016,54416
p0419,valid,2669.4444444444443,2798.4444444444443,2814.4444444444443,153600,6016,56556
p0420,valid,2468.1111111111113,2579.1111111111113,2595.1111111111113,116736,4864,46928
p0421,valid,2629.6666666666665,2740.6666666666665,2756.6666666666665,116736,4864,49068
p0422,valid,2468.1111111111113,2579.1111111111113,2595.1111111111113,116736,4864,48080
p0423,valid,2629.6666666666665,2740.6666666666665,2756.6666666666665,116736,4864,50220
p0424,valid,2468.1111111111113,2579.1111111111113,2595.1111111111113,116736,4864,49232
p0425,valid,2629.6666666666665,2740.6666666666665,2756.6666666666665,116736,4864,51372
p0426,valid,2450.1111111111113,2579.1111111111113,2595.1111111111113,104448,4480,46280
p0427,valid,2678.5555555555557,2807.5555555555557,2823.5555555555557,104448,4480,48420
p0428,valid,2450.1111111111113,2579.1111111111113,2595.1111111111113,104448,4480,47432
p0429,valid,2678.5555555555557,2807.5555555555557,2823.5555555555557,104448,4480,49572
p0430,valid,2450.1111111111113,2579.1111111111113,2595.1111111111113,104448,4480,48584
p0431,valid,2678.5555555555557,2807.5555555555557,2823.5555555555557,104448,4480,50724
p0432,valid,2536.8888888888887,2638.8888888888887,2654.8888888888887,124928,5120,52760
