config,group,case,target,mode,policy,n,latency_mean,latency_p95,paired_reduction_pct,ci95_low,ci95_high,tasks,sram_high_water_bytes,search_unique,search_budget_exhausted
qwen35_linear_decode__four_operand_slots__service,hardware_sensitivity,qwen35_linear_decode,four_operand_slots,service,B8,32,8899.283841001816,10711.904053390826,-4.533526239875326,-5.713798540662632,-3.3532539390880203,30,240832,152,True
qwen35_linear_decode__four_operand_slots__service,hardware_sensitivity,qwen35_linear_decode,four_operand_slots,service,H2,32,8772.573800450404,10591.904053390826,-3.0284055570035098,-4.1786590555743786,-1.8781520584326408,30,240832,152,True
qwen35_linear_decode__sram2MiB__service,hardware_sensitivity,qwen35_linear_decode,sram2MiB,service,S8,32,9864.569703219218,11756.17088389384,-5.129721677471462,-5.633647600333557,-4.625795754609367,30,196032,152,True
qwen35_linear_decode__sram2MiB__service,hardware_sensitivity,qwen35_linear_decode,sram2MiB,service,S,32,9386.91919199558,11477.838113974345,0.0,0.0,0.0,30,196032,152,True
qwen35_linear_decode__sram2MiB__service,hardware_sensitivity,qwen35_linear_decode,sram2MiB,service,B0,32,9864.538453219218,11756.17088389384,-5.1293310612080125,-5.6334074948495525,-4.6252546275664725,30,196032,152,True
qwen35_linear_decode__sram2MiB__service,hardware_sensitivity,qwen35_linear_decode,sram2MiB,service,B2,32,9900.75526429053,11792.17088389384,-5.519658895667791,-6.0264997387608785,-5.012818052574704,30,196032,152,True
qwen35_linear_decode__sram2MiB__service,hardware_sensitivity,qwen35_linear_decode,sram2MiB,service,B8,32,10009.535299550682,11900.17088389384,-6.692173986846024,-7.20955046257754,-6.174797511114508,30,196032,152,True
qwen35_linear_decode__sram2MiB__service,hardware_sensitivity,qwen35_linear_decode,sram2MiB,service,H2,32,9900.75526429053,11792.17088389384,-5.519658895667791,-6.0264997387608785,-5.012818052574704,30,196032,152,True
qwen35_linear_decode__sram8MiB__service,hardware_sensitivity,qwen35_linear_decode,sram8MiB,service,S8,32,9864.569703219218,11756.17088389384,-5.129721677471462,-5.633647600333557,-4.625795754609367,30,196032,152,True
qwen35_linear_decode__sram8MiB__service,hardware_sensitivity,qwen35_linear_decode,sram8MiB,service,S,32,9386.91919199558,11477.838113974345,0.0,0.0,0.0,30,196032,152,True
qwen35_linear_decode__sram8MiB__service,hardware_sensitivity,qwen35_linear_decode,sram8MiB,service,B0,32,9864.538453219218,11756.17088389384,-5.1293310612080125,-5.6334074948495525,-4.6252546275664725,30,196032,152,True
qwen35_linear_decode__sram8MiB__service,hardware_sensitivity,qwen35_linear_decode,sram8MiB,service,B2,32,9900.75526429053,11792.17088389384,-5.519658895667791,-6.0264997387608785,-5.012818052574704,30,196032,152,True
qwen35_linear_decode__sram8MiB__service,hardware_sensitivity,qwen35_linear_decode,sram8MiB,service,B8,32,10009.535299550682,11900.17088389384,-6.692173986846024,-7.20955046257754,-6.174797511114508,30,196032,152,True
qwen35_linear_decode__sram8MiB__service,hardware_sensitivity,qwen35_linear_decode,sram8MiB,service,H2,32,9900.75526429053,11792.17088389384,-5.519658895667791,-6.0264997387608785,-5.012818052574704,30,196032,152,True
flux2_klein4b_double_scaled__two_core__deterministic,main,flux2_klein4b_double_scaled,two_core,deterministic,S8,32,13417.0625,13417.0625,-3.694239826107958,-3.694239826107958,-3.694239826107958,51,249152,151,True
flux2_klein4b_double_scaled__two_core__deterministic,main,flux2_klein4b_double_scaled,two_core,deterministic,S,32,12939.0625,12939.0625,0.0,0.0,0.0,51,249152,151,True
flux2_klein4b_double_scaled__two_core__deterministic,main,flux2_klein4b_double_scaled,two_core,deterministic,B0,32,13417.0625,13417.0625,-3.694239826107958,-3.694239826107958,-3.694239826107958,51,249152,151,True
flux2_klein4b_double_scaled__two_core__deterministic,main,flux2_klein4b_double_scaled,two_core,deterministic,B2,32,13473.0625,13473.0625,-4.127037797367468,-4.127037797367468,-4.127037797367468,51,249152,151,True
flux2_klein4b_double_scaled__two_core__deterministic,main,flux2_klein4b_double_scaled,two_core,deterministic,B8,32,13641.0625,13641.0625,-5.425431711145997,-5.425431711145997,-5.425431711145997,51,249152,151,True
