config,seeds,tasks,A_mean,A_p95,A2_mean,A2_p95,B_mean,B_p95,C_mean,C_p95,B_paired_reduction_pct,B_normal95_low,B_normal95_high,B_wins,B_losses,C_paired_reduction_pct,C_normal95_low,C_normal95_high,C_wins,C_losses
chips_4_memory,20,98,832.5383712409214,853.8374248629802,832.5383712409214,853.8374248629802,843.249561431676,856.8183747718924,843.249561431676,856.8183747718924,-1.3267338795223032,-2.4614911291386705,-0.19197662990593578,7,13,-1.3267338795223032,-2.4614911291386705,-0.19197662990593578,7,13
chips_4_communication,20,98,818.537373888276,861.4627287140157,822.2351251749432,863.4627287140156,865.1096038234547,911.4627287140156,865.1096038234547,911.4627287140157,-5.237059208394762,-5.621001635796899,-4.853116780992625,0,20,-5.237059208394766,-5.621001635796904,-4.853116780992628,0,20
chips_4_memory_communication,20,98,829.7418152013881,876.8461955900435,836.8696845733018,913.7168312519162,836.0377667501851,890.5918886124198,836.0377667501851,890.5918886124197,0.0023923138132735887,-1.5061752457467081,1.5109598733732552,9,11,0.0023923138132775357,-1.5061752457467035,1.5109598733732585,9,11
grain_1_cost_0,20,20,427.38896519366153,475.4061232010024,429.2328091034845,459.8419967980788,429.2328091034845,459.8419967980788,443.62453235388637,484.3280797684946,0.0,0.0,0.0,0,0,-3.3364363432508584,-3.9616034654518657,-2.711269221049851,0,20
grain_1_cost_2,20,20,471.5819334653375,519.4061232010024,473.33627882854415,503.8419967980788,483.6316333971357,524.3280797684946,483.6316333971357,524.3280797684946,-2.1587460811168824,-2.7324544835913818,-1.585037678642383,0,20,-2.1587460811168824,-2.7324544835913818,-1.585037678642383,0,20
grain_2_cost_0,20,40,338.5195323116296,369.2040429611258,338.5195323116296,369.2040429611258,339.20541518584196,371.9794671957429,360.5560399782737,398.8671014847485,-0.23876005125724042,-1.1961466918522792,0.7186265893377984,4,4,-6.478184503473154,-7.5351311223786315,-5.421237884567677,0,20
grain_2_cost_2,20,40,382.9839539922506,412.94311258932964,382.9839539922506,412.94311258932964,380.3578905364499,417.4103421138746,397.3398655558892,440.0951683181371,0.6769720003740388,-0.4121119930274221,1.7660559937754998,14,6,-3.7501952406899903,-4.399992489370358,-3.1003979920096234,0,20
grain_4_cost_0,20,80,336.74415899722345,360.40303222084435,338.2289778653774,358.47547385133896,335.98093763517323,351.97305154285453,354.86882515148284,389.2040429611258,0.6429613294405379,0.1895754366181449,1.096347222262931,9,3,-4.872838304476879,-6.487207330125081,-3.2584692788286773,2,18
grain_4_cost_2,20,80,410.2881883842364,438.05315826756527,410.2881883842364,438.05315826756527,402.0960414075282,425.66862581744607,408.6356794095692,441.87590702137993,1.947551746108558,1.1199076182612366,2.7751958739558793,17,3,0.41281395249020597,-0.23739570854771103,1.063023613528123,10,10
window_2,20,30,655.5276448824267,693.0759065223252,655.5276448824267,693.0759065223252,673.1058656099988,706.2014147073011,673.1058656099988,706.2014147073011,-2.6920880615726257,-3.2284571857523283,-2.155718937392923,0,20,-2.6920880615726257,-3.2284571857523283,-2.155718937392923,0,20
window_8,20,30,655.5276448824267,693.0759065223252,655.5276448824267,693.0759065223252,684.9393800180762,731.2812612560517,684.9393800180762,731.2812612560517,-4.484178105482526,-5.3117182750907626,-3.656637935874289,0,20,-4.484178105482526,-5.3117182750907626,-3.656637935874289,0,20
window_32,20,30,655.5276448824267,693.0759065223252,655.5276448824267,693.0759065223252,684.9393800180762,731.2812612560517,684.9393800180762,731.2812612560517,-4.484178105482526,-5.3117182750907626,-3.656637935874289,0,20,-4.484178105482526,-5.3117182750907626,-3.656637935874289,0,20
wakeup_1,20,18,197.94079330408994,234.37782634779919,192.8240479354669,218.37782634779916,192.8240479354669,218.37782634779916,192.8240479354669,218.37782634779916,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
wakeup_2,20,18,184.330414952343,218.37782634779919,181.60271742910075,210.37782634779916,181.60271742910075,210.37782634779916,181.60271742910075,210.37782634779916,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
wakeup_8,20,18,179.6937166696679,208.26186032372982,179.6937166696679,208.26186032372982,179.6937166696679,208.26186032372982,179.6937166696679,208.26186032372982,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
byte_window_256,20,30,638.5276448824267,676.0759065223252,638.5276448824267,676.0759065223252,665.9893800180762,712.2812612560517,665.9893800180762,712.2812612560517,-4.298272935634969,-5.14268074554209,-3.453865125727849,0,20,-4.298272935634969,-5.14268074554209,-3.453865125727849,0,20
