config,group,case,target,mode,policy,n,latency_mean,latency_p95,paired_reduction_pct,ci95_low,ci95_high
flux2_klein4b_double_scaled__sram8MiB__service,hardware_sensitivity,flux2_klein4b_double_scaled,sram8MiB,service,B_order0,32,13422.340690934532,14767.013251445836,-0.05303209912697548,-0.16494698069763547,0.05888278244368452
flux2_klein4b_double_scaled__sram8MiB__service,hardware_sensitivity,flux2_klein4b_double_scaled,sram8MiB,service,B_order2,32,13469.191947145124,14807.013251445836,-0.4059267941176954,-0.5264180974926885,-0.2854354907427022
flux2_klein4b_single_scaled__two_core__deterministic,main,flux2_klein4b_single_scaled,two_core,deterministic,B_order0,32,10575.5625,10575.5625,0.0,0.0,0.0
flux2_klein4b_single_scaled__two_core__deterministic,main,flux2_klein4b_single_scaled,two_core,deterministic,B_order2,32,10619.5625,10619.5625,-0.416053519611841,-0.416053519611841,-0.416053519611841
flux2_klein4b_single_scaled__two_core__service,main,flux2_klein4b_single_scaled,two_core,service,B_order0,32,10474.509790370359,11431.291761274035,0.0,0.0,0.0
flux2_klein4b_single_scaled__two_core__service,main,flux2_klein4b_single_scaled,two_core,service,B_order2,32,10518.509790370359,11475.291761274035,-0.42127216697830494,-0.42921364154477826,-0.4133306924118316
flux2_klein4b_single_scaled__two_core__calendar,main,flux2_klein4b_single_scaled,two_core,calendar,B_order0,32,13249.82973448484,13366.73220627575,0.0,0.0,0.0
flux2_klein4b_single_scaled__two_core__calendar,main,flux2_klein4b_single_scaled,two_core,calendar,B_order2,32,13281.870833477153,13405.621053979427,-0.24266459709590077,-0.3950859141482092,-0.09024328004359233
flux2_klein4b_single_scaled__two_core__combined,main,flux2_klein4b_single_scaled,two_core,combined,B_order0,32,13163.116903662652,14762.083060255285,-0.1389553964863706,-0.4371136396051637,0.15920284663242254
flux2_klein4b_single_scaled__two_core__combined,main,flux2_klein4b_single_scaled,two_core,combined,B_order2,32,13209.868065988634,14829.379157328509,-0.49324436378809344,-0.748211436171443,-0.23827729140474385
flux2_klein4b_single_scaled__dma16__service,hardware_sensitivity,flux2_klein4b_single_scaled,dma16,service,B_order0,32,14894.524692176758,16820.81778715174,0.0,0.0,0.0
flux2_klein4b_single_scaled__dma16__service,hardware_sensitivity,flux2_klein4b_single_scaled,dma16,service,B_order2,32,14938.524692176758,16864.81778715174,-0.29708945671249104,-0.30497785666148014,-0.28920105676350194
flux2_klein4b_single_scaled__dma64__service,hardware_sensitivity,flux2_klein4b_single_scaled,dma64,service,B_order0,32,8264.50233946716,8736.528748335179,0.0,0.0,0.0
flux2_klein4b_single_scaled__dma64__service,hardware_sensitivity,flux2_klein4b_single_scaled,dma64,service,B_order2,32,8308.50233946716,8780.528748335179,-0.533012428870622,-0.5393878249443866,-0.5266370327968573
flux2_klein4b_single_scaled__sram_one_port__service,hardware_sensitivity,flux2_klein4b_single_scaled,sram_one_port,service,B_order0,32,11339.509790370359,12296.291761274035,0.0,0.0,0.0
flux2_klein4b_single_scaled__sram_one_port__service,hardware_sensitivity,flux2_klein4b_single_scaled,sram_one_port,service,B_order2,32,11385.509790370359,12342.291761274035,-0.40665339303604914,-0.41373174408114854,-0.39957504199094973
